company_name,sector,region
AES Corporation,Electric Utilities,North America
AGL Australia,Electric Utilities,Australasia
Air France-KLM,Airlines,Europe
Air Liquide,Chemicals,Europe
Airbus Group,Other transportation,Europe
American Airlines Group,Airlines,North America
American Electric Power,Electric Utilities,North America
Anglo American,Diversified Mining,Europe
Antam (Aneka Tambang),Diversified Mining,Asia
ArcelorMittal,Steel,Europe
BASF,Chemicals,Europe
BHP,Diversified Mining,Australasia
BMW Group,Automobiles,Europe
BP,Oil & Gas,Europe
Bayer,Chemicals,Europe
Berkshire Hathaway,other industrials,North America
Bluescope Steel,Steel,Australasia
Boeing,Other transportation,North America
Boral Limited,cement,Australasia
CEZ,Electric Utilities,Europe
CRH,cement,Europe
Canadian Natural Resources Ltd (CNRL),Oil & Gas,North America
Caterpillar,other industrials,North America
Cemex,cement,North America
Centrica,Oil & Gas Distribution,Europe
Chevron,Oil & Gas,North America
Coal India,Coal mining,Asia
Coca-Cola,Consumer Goods & Services,North America
ConocoPhillips,Oil & Gas,North America
Cummins,other industrials,North America
Daikin Industries,other industrials,Asia
Danone,Consumer Goods & Services,Europe
Delta Air Lines,Airlines,North America
Devon Energy,Oil & Gas,North America
Dow Inc,Chemicals,North America
Duke Energy,Electric Utilities,North America
E.ON,Electric Utilities,Europe
EDF,Oil & Gas Distribution,Europe
Ecopetrol,Oil & Gas,South America
Enbridge,Oil & Gas Distribution,North America
Enel,Electric Utilities,Europe
Engie,Electric Utilities,Europe
Eni,Oil & Gas,Europe
Equinor (formerly Statoil),Oil & Gas,Europe
Eskom Holdings Soc Limited,Electric Utilities,Africa
ExxonMobil,Oil & Gas,North America
Ford Motor,Automobiles,North America
Fortum,Electric Utilities,Europe
Gazprom,Oil & Gas,Asia
General Electric,other industrials,Asia
General Motors,Automobiles,Australasia
Glencore International,Diversified Mining,Australasia
Grupo Argos,cement,South America
Grupo México,Diversified Mining,North America
HeidelbergCement,cement,Europe
Hitachi,other industrials,Asia
Holcim,cement,Europe
Honda Motor,Automobiles,Asia
Iberdrola,Electric Utilities,Europe
Imperial Oil Limited,Oil & Gas,North America
Incitec Pivot,Chemicals,Australasia
International Paper Company,paper,North America
Kinder Morgan,Oil & Gas Distribution,North America
Korea Electric Power Corporation (KEPCO),Electric Utilities,Asia
Lukoil,Oil & Gas,Asia
LyondellBasell Industries,Chemicals,Europe
Mercedes-Benz Group,Automobiles,Europe
Moller Maersk (Maersk),shipping,Europe
NRG Energy,Electric Utilities,North America
National Grid,Electric Utilities,Europe
Naturgy (Gas Natural Fenosa),Oil & Gas Distribution,Europe
Nestlé,Consumer Goods & Services,Europe
Nippon Steel Corporation,Steel,Asia
Nissan,Automobiles,Asia
OMV,Oil & Gas,Europe
Occidental Petroleum,Oil & Gas,North America
Orica,other industrials,Australasia
Origin Energy,Oil & Gas,Australasia
PACCAR,Other transportation,North America
PGE (Polska Grupa Energetyczna),Electric Utilities,Europe
POSCO,Steel,Asia
PPL Corporation,Electric Utilities,North America
PTT Global Chemicals,Oil & Gas,Asia
Panasonic,Consumer Goods & Services,Asia
Pemex (Petróleos Mexicanos),Oil & Gas,North America
PepsiCo,Consumer Goods & Services,North America
Petrobras,Oil & Gas,South America
Philips,Consumer Goods & Services,Europe
Phillips 66,Oil & Gas Distribution,North America
Qantas Airways,Airlines,Australasia
RWE,Electric Utilities,Europe
Raytheon Technologies Corporation (formerly United Technologies),Other transportation,North America
Reliance Industries Limited,Oil & Gas,Asia
Renault,Automobiles,Europe
Repsol,Oil & Gas,Europe
Rio Tinto Group,Diversified Mining,Australasia
Rolls-Royce,Other transportation,Europe
Rosneft,Oil & Gas,Asia
SK Innovation Co,shipping,Asia
SSAB,Steel,Europe
SSE,Electric Utilities,Europe
Saint-Gobain,other industrials,Europe
Santos,Oil & Gas,Australasia
Sasol,Oil & Gas,Africa
Saudi Aramco,Oil & Gas,Middle East
Severstal,Steel,Asia
Shell,Oil & Gas,Europe
Siemens Energy,other industrials,Europe
South32,Diversified Mining,Australasia
Stellantis,Automobiles,Europe
Suncor Energy,Oil & Gas,North America
Suzano (formerly Fibria Celulose),paper,South America
Suzuki,Automobiles,Asia
TC Energy,Oil & Gas Distribution,North America
Teck Resources Limited,Diversified Mining,North America
Toray Industries Inc.,Chemicals,Asia
TotalEnergies,Oil & Gas,Europe
Toyota Motor,Automobiles,Asia
Trane Technologies (formerly Ingersoll-Rand),other industrials,Europe
UltraTech Cement,cement,Asia
Unilever,Consumer Goods & Services,Europe
Uniper,Electric Utilities,Europe
United Airlines,Airlines,North America
Vale,Diversified Mining,South America
Valero Energy,Oil & Gas,North America
Vedanta Resources,Diversified Mining,Asia
Vistra Corp,Electric Utilities,North America
Volkswagen Group,Automobiles,Europe
Volvo Group,Other transportation,Europe
Walmart Stores,Consumer Goods & Services,North America
Weyerhaeuser Company,Consumer Goods & Services,North America
Woodside,Oil & Gas,Australasia
thyssenkrupp,Steel,Europe
