evidence_region,document_count
global,3912
united_states,2100
new_york,32
south_america,58
north_america,165
vietnam,3
australia,753
eu,2036
europe,200
netherlands,18
korea,33
france,77
united_kingdom,404
africa,87
illinois,37
west_virginia,1
south_africa,71
asia,43
spain,31
germany,145
india,155
california,126
mexico,50
new_zealand,14
michigan,5
china,36
japan,62
washington,3
canada,224
middle_east,16
virginia,2
utah,1
florida,14
north_carolina,4
italy,12
texas,18
pennsylvania,9
maryland,28
district_of_columbia,4
brazil,17
new_jersey,23
ohio,2
massachusetts,8
rhode_island,5
colorado,7
poland,28
thailand,15
nigeria,4
southeast_asia,1
wisconsin,2
minnesota,4
delaware,4
oceania,16
norway,2
czech_republic,4
oregon,1
alabama,1
connecticut,1
nevada,1
new_mexico,1
taiwan,2
